Количество на 100г продукта:,"Жиры, г",Ккал
Консервы из говядины в белом соусе,14.8,220
Консервы из говяжьего гуляша,14.3,212
Консервы из говяжьего языка в желе,13.6,212
Консервы из жирной свинины,48.9,486
Консервы из колбасного куриного фарша,15.6,200
Консервы из курицы в собственном соку,9.9,183
Консервы из особой ветчины,6.2,126
Консервы из отварной говядины в собственном соку,16.9,214
Консервы из свиного гуляша,29.4,333
Консервы из свиного сосисочного фарша,20.4,244
Консервы из тушеной баранины,13.4,191
Консервы из тушеной говядины,17.0,220
Консервы из тушеной свинины,32.2,349
Консервы из утки в собственном соку,17.5,223
Корейка  свинины копчено-запеченная,48.2,475
Корейка свинины сырокопченая,47.4,469
Котлета свиная сырая,13.4,238
Котлеты  из индейки,12.2,220
Котлеты  куриные,10.4,222
Котлеты  отбивные из баранины,30.6,394
Котлеты  отбивные из свинины,40.3,470
Котлеты  рубленые из баранины,14.8,240
Котлеты  рубленые из говядины,11.4,213
Котлеты  рубленые из мяса цыплят,13.6,238
Котлеты  рубленые из свинины,45.7,466
Красное мясо индейки сырое,4.0,125
Кролик  жареный,12.7,241
Кролик  отварной,10.4,194
Кролик сырой,8.4,205
Крыло индейки с кожей сырое,12.0,197
Крыло курицы без кожи сырое,8.1,201
Крыло курицы с кожей сырое,19.3,288
Куриная грудка без кожи,3.5,164
Курица  жареная,15.3,259
Курица  отварная,17.0,244
Курица  тушеная с овощами,7.1,125
Курица гриль,0.0,237
Куры 1 кат.,18.4,238
Куры 2 кат.,8.2,159
Мозги говяжьи,8.6,127
Мозги свиные,8.6,119
Мякоть говядины сырая,19.6,289
Мясо кролика,11.0,183
Ножка индейки с кожей сырая,7.0,144
Окорок бараний сырой,13.0,195
Окорок свинины  тамбовский вареный,25.6,288
Окорок свиной сырой,21.0,263
Окрошка  мясная из говядины на кефире,1.1,39
Окрошка мясная из говядины со сметаной,1.7,52
Оладьи  из говяжьей печени,14.2,230
Оленина 1 кат.,8.5,155
Отбивная свиная сырая,14.6,250
Паштет  из говяжьей печени,11.1,177
Пельмени  жареные,22.5,303
Пельмени  отварные,13.9,219
Печень говяжья,3.7,127
Печень говяжья  жареная,10.2,208
Печень говяжья  тушеная в соусе,9.2,159
Печень говяжья сырая,4.0,135
Печень курицы сырая,5.0,116
Печень свиная,3.8,109
Пирожки  печеные с мясным фаршем и луком,5.7,245
Поджарка из баранины,35.1,409
Поджарка из говядины,13.6,237
Поджарка из свинины,49.3,524
Поросенок  жареный,4.5,147
Поросята,3.0,109
Почки говяжьи,2.8,86
Почки говяжьи жареные  в соусе,6.1,122
Почки говяжьи по-русски,3.3,96
Почки говяжьи тушеные,5.5,109
Почки свиные,3.6,92
Рагу  из баранины,10.1,152
Рагу  из индейки,7.9,131
Рагу  из кролика,6.1,123
Рагу  из кур,8.0,131
Рагу  из утки,13.5,186
Рагу  из цыплят,7.1,125
Расстегаи  с мясом и луком,6.4,254
Ребра свиные сырые,24.0,282
Ромштекс из говядины,11.3,237
Салат  с курицей,9.9,137
Салат мясной говяжий,18.8,219
Сало свиное сырое,89.0,812
Сардельки  говяжьи  отварные,18.2,215
Сардельки 1 сорта,17.2,202
Свинина  жареная,26.2,314
Свинина  отварная,31.5,373
Свинина  тушеная,20.4,235
Свинина беконная,27.8,318
Свинина жирная,49.3,491
Свинина мясная,33.3,357
Свиные сардельки,31.6,322
Сердце говяжье,3.5,96
Сердце курицы сырое,9.0,153
Сердце свиное,4.0,101
Солянка  сборная мясная с говядиной,2.8,39
Сосиски  говяжьи отварные,20.0,225
Спинка курицы с кожей сырая,20.8,298
Стейк из говядины сырой,13.2,237
Телятина 1 кат.,2.0,97
Телятина 2 кат.,0.9,89
Тефтели из говядины,9.1,150
Утка  жареная,34.9,407
Утка  отварная,34.6,385
Утка  фаршированная картофелем,10.9,169
Утки 1 кат.,38.0,405
Утки 2 кат.,24.2,287
Фарш бараний сырой,23.0,282
Фарш свиной сырой,21.0,263
Фрикадельки куриные,6.5,163
Цыплята  жареные,18.3,261
Цыплята  жареные  табака,20.2,281
Цыплята  отварные,13.6,211
Шея куриная с кожей сырая,17.9,245
Шницель  рубленый из говядины,24.9,331
Шницель из свинины отбивной,32.2,403
Шницель из свинины рубленый,42.5,473
Шницель отбивной из баранины,23.2,333
Эскалоп из свинины,32.3,363
Язык говяжий,12.1,173
Язык свиной,16.0,208
«Боржоми»,0.0,0
«Ессентуки № 4»,0.0,0
«Нарзан»,0.0,0
Вина десертные,0.0,172
Вина крепкие,0.0,163
Вина ликерные,0.0,212
Вина полудесертные,0.0,140
Вина полусладкие белые и красные (в т. ч. шампанское),0.0,88
Вина полусухие белые и красные (в т. ч. шампанское),0.0,78
Вина сладкие белые и красные (в т. ч. шампанское),0.0,100
Вина сухие  белые и красные  (в т. ч. шампанское),0.0,64
Вино безалкогольное,0.0,6
"Вино белое ""Мускат""",0.0,82
"Вино белое ""Рислинг""",0.0,80
"Вино белое ""Савиньон""",0.0,81
"Вино красное ""Бургундское""",0.0,86
"Вино красное ""Каберне Савиньон""",0.0,83
"Вино красное ""Мерло""",0.0,83
"Вино красное ""Пино Нуар""",0.0,82
Виски,0.0,87
Вода,0.0,0
Водка,0.0,231
Зеленый чай,0.0,1
Какао без молока,1.0,55
Какао с заменителем сахара,0.0,29
Квас хлебный,0.0,27
Кисель из  вишневого сока,0.0,78
Кисель из  сливового варенья,0.0,63
Кисель из  сушеных яблок,0.0,66
Кисель из клюквы,0.0,53
Кисель из кураги,0.0,54
Кисель из яблок,0.1,97
Коктейль  персиковый,1.9,98
"Компoт  из черешни, консервы",0.2,87
Компот  из абрикосов,0.0,56
"Компот  из абрикосов, консервы",0.0,89
Компот  из крыжовника и  черной смородины,0.1,58
"Компот  из персиков, консервы",0.0,88
"Компот  из яблок, консервы",0.2,93
Компот  персиковый,0.0,88
Компот  черешневый,0.1,58
Компот  яблочный,0.1,55
Компот вишневый,0.1,57
Компот грушевый,0.1,55
Компот из айвы,0.1,56
"Компот из айвы, консервы",0.3,82
"Компот из вишни, консервы",0.3,101
"Компот из груш, консервы",0.2,74
Коньяк ординарный «три звездочки»,0.0,239
Кофе жареный  в зернах,14.4,331
Кофе на  сгущенном молоке,0.9,55
Кофе на молоке,1.0,58
Кофе растворимый черный,0.0,1
Кофе со сливками и ликером,16.0,327
Кофе черный (без сахара),0.5,7
Кофе эспрессо,0.0,2
Кофе эспрессо без кофеина,0.0,0
Ликер вишневый,0.0,299
Наливка «Сливянка»,0.0,215
Напиток  апельсиновый,0.0,53
Напиток  клюквенный,0.0,51
Напиток  яблочный,0.1,54
Напиток Coca-cola классический,0.0,44
Напиток из плодов  шиповника,0.1,50
Напиток на плодово-ягодных настоях,0.0,46
Напиток на цитрусовых настоях,0.0,33
"Напиток на эссенциях (Coca-Cola, Pepsi, «Байкал» и др.)",0.0,38
"Напиток яблочно­ морковный, консервы",0.0,68
"Напиток яблочно­абрикосовый, консервы",0.0,58
"Напиток яблочно­виноградный, консервы",0.0,52
Настойка горькая «Русский сувенир»,0.0,248
Пиво светлое,0.0,29
"Пиво светлое,  с долей сухих в-в в исходном сусле 11%",0.0,42
"Пиво светлое,  с долей сухих в-в в исходном сусле 20%",0.0,75
Пиво темное,0.0,43
"Пиво темное,  с долей сухих в-в в исходном сусле 13%",0.0,48
"Пиво темное, с долей сухих в-в в исходном сусле 20%",0.0,74
Сладкий вермут,0.0,160
Сок абрикосовый,0.0,55
Сок айвовый,0.1,51
Сок ананасовый,0.1,52
Сок ананасовый без сахара,0.0,53
Сок апельсиновый,0.1,60
Сок виноградный,0.2,70
Сок вишневый,0.2,51
Сок гранатовый,0.1,56
Сок грейпфрутовый,0.1,38
Сок грейпфрутовый белый без сахара,0.0,39
Сок грейпфрутовый белый с сахаром,0.0,46
Сок грейпфрутовый розовый без сахара,0.0,39
Сок из смеси овощей,0.0,19
Сок клюквенный без сахара,0.0,46
Сок лимонный,0.0,33
Сок лимонный без сахара,0.0,25
Сок мандариновый,0.0,45
Сок морковный,0.1,56
Сок персиковый,0.0,68
Сок свекольный,0.0,61
Сок сливовый,0.1,68
Сок томатный,0.1,18
Сок томатный с солью,0.0,17
Сок черничный,1.0,38
Сок черноплодно­рябиновый,0.1,50
Сок черносмородиновый,0.0,41
Сок шиповниковый,0.2,67
Сок яблочный,0.1,46
Холодный чай Lipton с лимоном,0.0,35
Холодный чай Nestea с лимоном,0.0,36
Чай ромашковый,0.0,1
Чай с лимоном,0.0,28
Чай с молоком,0.8,43
Чай с сахаром,0.0,28
Чай травяной,0.0,1
"Чай черный без сахара, лимона и молока",0.0,1
"Яблоки в сиропе, консервы",0.1,48
Авокадо,15.0,160
Базилик,0.0,23
Баклажаны,0.1,24
"Баклажаны, фаршированные овощами",4.5,83
Белокочанная капуста,0.1,28
Борщ,1.0,29
Борщ из свежей капусты и картофеля,1.1,36
Борщ летний,1.2,38
Борщ с картофелем,1.1,42
Борщ украинский,2.2,50
Брокколи,0.4,34
Брокколи смесь Hortex,0.3,23
Брюква,0.1,37
Брюква припущенная,1.6,54
Брюссельская,0.3,35
Брюссельская капуста,0.3,43
Ватрушки картофельные,7.6,165
Вешенки,0.0,43
Голубцы овощные,5.2,95
Грибы белые,1.7,34
Грибы белые сушеные,14.3,286
Грибы жареные (сушеные),24.4,270
Грибы жареные в сметанном соусе,14.5,172
Грибы жареные с картофелем,5.2,114
Грибы лисички,1.0,19
Грибы опята,1.2,22
Грибы подберезовики,0.8,20
Грибы подосиновики,0.5,22
Грибы сыроежки,0.7,19
Грибы шампиньоны,1.0,27
"Грибы, запеченные  в сметанном соусе",16.6,188
"Грибы, тушенные  с картофелем",6.4,117
Драники  картофельные,4.5,127
Запеканка  капустная,5.2,114
Запеканка из тыквы,6.1,137
Запеканка картофельная  с овощами,5.9,136
Запеканка морковная,5.0,128
Зразы картофельные,6.4,152
"Икра из баклажанов, консервы",13.3,148
"Икра из кабачков, консервы",8.9,119
Икра кабачковая,4.7,78
Икра свекольная,6.8,119
Имбирь свежий,1.0,80
Кабачки,0.3,24
Кабачки жареные,5.9,88
Кабачки запеченные,10.0,140
Кабачки припущенные,1.8,39
"Кабачки, тушенные  в сметане",4.7,69
"Кабачки, фаршированные овощами",10.5,130
Капуста  квашеная,0.1,23
Капуста жареная,2.8,50
Капуста запеченная,8.0,113
Капуста отварная,0.1,24
Капуста припущенная,1.5,37
Капуста тушеная,3.3,75
Капуста цветная жареная,3.1,47
Капуста цветная отварная,0.2,22
Картофель,0.4,77
Картофель отварной,0.4,75
Картофель сушеный,0.3,317
"Картофель,  жаренный брусочками",9.6,192
"Картофель,  жаренный ломтиками  (из отварного)",8.6,161
"Картофель,  тушенный с грибами",7.7,134
"Картофель, жаренный  во фритюре",15.5,276
"Картофель, запеченный  с яйцом",14.5,228
"Картофель, запеченный в сметанном соусе",5.3,114
Каша из тыквы,1.7,87
Китайская капуста,0.2,13
Кольраби,0.1,44
Котлеты капустные,8.2,153
Котлеты картофельные,4.7,142
Котлеты картофельные с творогом,9.7,179
"Котлеты картофельные, запеченные",6.9,139
Котлеты морковные,6.7,152
Котлеты свекольные,8.1,187
Краснокочанная,0.2,26
Краснокочанная капуста,0.2,31
Кресс-салат,0.1,11
Кукуруза сладкая,1.0,86
Латук,0.1,14
Лук жареный,13.5,251
Лук зеленый  (перо),0.1,20
Лук маринованный,4.7,79
Лук порей,0.2,36
Лук репка,0.2,41
Луковичный флорентийский фенхель,0.2,16
Майоран сушеный,7.0,271
Мангольд,0.2,19
Морковь,0.1,35
Морковь отварная,0.1,33
Морковь припущенная,1.6,52
Морковь тушеная  с рисом,5.0,122
Морская капуста,0.2,5
Огурцы (грунтовые),0.1,14
Огурцы (парниковые),0.1,11
Огурцы соленые,0.1,13
Окрошка овощная,0.8,39
Оладьи из тыквы,7.0,158
Пастернак (корень),0.5,47
Патиссон,0.1,34
Патиссон,0.0,16
Перец сладкий,0.1,26
"Перец,  фаршированный овощами",5.9,100
Петрушка,0.4,49
Петрушка (корень),0.6,51
Печеное таро,0.3,144
Пирожки картофельные с морковью,4.2,124
Помидоры,0.0,20
"Помидоры без кожицы, консервы",0.0,12
Помидоры жареные,4.7,73
"Помидоры с кожицей, консервы",0.1,20
"Помидоры,  фаршированные с рисом и морковью",4.9,91
"Помидоры, фаршированные яйцом и луком",6.2,83
Портобелло,0.0,26
Пудинг из тыквы,3.2,92
Пудинг морковный,4.1,106
Пюре из моркови,5.6,90
Пюре из тыквы,6.2,88
Пюре картофельное,0.8,75
Рагу овощное,4.5,91
Рассольник домашний,1.0,36
Ревень,0.1,16
Редис,0.1,20
Редька с маслом,7.0,96
Редька черная,0.2,36
Репа,0.1,32
Репа припущенная,1.5,45
Салат,0.2,16
Салат  из свежих огурцов,4.0,52
Салат зеленый,4.1,54
Салат зеленый  с огурцами,4.1,52
Салат из  квашеной капусты,4.9,76
Салат из зеленого лука,4.0,56
Салат из капусты белокочанной,5.0,69
Салат из моркови,2.0,67
Салат из редиса,5.0,67
Салат из свежих помидоров,4.1,59
Салат из свежих помидоров и  огурцов,4.1,57
Салат из свежих помидоров с перцем,4.7,66
Салат из свеклы  с сыром и чесноком,14.2,178
Салат из соленых огурцов с луком,5.0,61
"Салат из цветной капусты, помидоров и зелени",8.7,108
Салат картофельный с огурцами,3.2,71
Свекла,0.1,42
Свекла отварная,0.1,48
Свекла тушеная,3.0,75
"Свекла, тушенная  с яблоками",3.9,84
Свекольник холодный,0.2,30
Сельдерей,0.1,13
Сельдерей (корень),0.3,34
Сельдерей (стебли),0.0,42
Соленая окра,0.1,29
Солянка грибная,1.2,18
Соус томатный острый,0.0,99
Спаржа,0.1,21
Суп картофельный,1.2,45
Суп картофельный с перловой крупой,1.1,37
Суп-пюре  из шпината,2.0,42
Суп-пюре из  картофеля,2.0,58
Суп-пюре из моркови,1.8,39
Суфле морковное,12.9,189
"Томатная паста, консервы",0.0,102
"Томатное пюре, консервы",0.0,66
Томаты  (грунтовые),0.2,24
Топинамбур,0.1,61
Турнепс,0.0,28
Тыква,0.1,22
Тыква жареная,5.7,86
Тыква маринованная,0.1,42
Тыква отварная,0.1,26
Тыква припущенная,1.7,40
Укроп,0.5,40
Хрен,0.4,59
Цветная капуста,0.3,30
Цикорий,0.3,19
Цуккини,0.0,16
Чеснок,0.5,149
Шиитаке сушеные,1.0,296
Шницель из капусты,6.4,118
Шпинат,0.3,23
"Шпинат-пюре, консервы",0.1,16
Щавель,0.3,22
Щи  из квашеной капусты,1.0,19
Щи из свежей капусты,1.1,24
Щи из щавеля,3.5,48
Щи суточные,1.0,19
Винный уксус (3%),0.0,9
Горчица столовая,5.3,143
Дрожжи прессованные,2.7,109
Желатин,0.4,355
Заправка для салата,23.3,235
Маринад овощной без томата,9.1,134
Отруби пшеничные,3.8,165
Порошок горчичный,11.1,378
Соль поваренная пищевая,0.0,0
Соус белый основной,4.1,56
Соус грибной,6.2,82
Соус клюквенный,0.0,51
Соус красный основной,2.0,48
Соус луковый,4.8,75
Соус майонез  со сметаной,31.9,312
Соус молочный,5.2,84
Соус польский,6.1,78
Соус с хреном,0.1,27
Соус сметанный,5.2,78
Соус томатный,4.5,80
Соус черносмородиновый,0.1,275
Балык осетровый холодного копчения,12.5,194
Бутербод с соленой горбушей,2.7,110
Бутерброд  с килькой и яйцом,6.9,151
Бутерброд  с сельдью,6.7,144
Бутерброд с зернистой икрой кеты,3.9,117
Бутерброд с икрой осетровой зернистой,3.5,112
Вобла,2.8,95
Вобла холодного копчения,6.3,181
Галки из трески,1.1,87
Горбуша,6.5,140
"Горбуша в томатном соусе, консервы",6.0,130
"Горбуша натуральная, консервы",5.8,136
Горбуша отварная,7.3,152
Горбуша соленая,9.0,169
Зразы из судака,7.4,164
Зразы из хека,5.6,140
Зубатка жареная,11.5,209
Зубатка отварная,5.1,122
Зубатка пестрая,5.3,126
"Зубатка, запеченная в сметанном соусе",8.8,137
Икра белужья зернистая,13.8,235
Икра горбуши зернистая,11.5,230
Икра кеты зернистая,13.2,249
Икра минтаевая пробойная,1.8,132
Икра осетровая зернистая,9.3,200
Икра осетровая паюсная,14.5,289
Икра севрюжья зернистая,11.7,221
Кальмар (мясо),2.2,100
Камбала дальневосточная,3.0,90
"Камбала обжаренная в масле, консервы",21.8,254
Каракатица свежая,1.0,79
Карась,1.8,87
Карп,5.3,112
Карп жареный,10.5,181
Кета,5.6,127
"Кета натуральная, консервы",4.8,129
Кета соленая,9.6,184
Кефаль свежая,4.0,117
Кижуч,6.0,140
Килька балтийская,9.0,137
Килька балтийская  горячего копчения,8.5,162
Килька балтийская соленая,7.6,137
Килька каспийская,13.1,192
Килька соленая с картофелем и маслом,12.2,192
Килька соленая с луком и маслом,13.8,169
Китовое мясо,3.2,119
Корюшка свежая,2.0,97
Котлеты из трески,5.9,164
Краб камчатский (мясо),1.0,82
"Крабы  натуральные, консервы",1.1,85
Креветка антарктическая (мясо) варено-мороженая,1.6,98
"Креветка антарктическая натуральная, консервы",1.1,82
Креветка дальневосточная (мясо),1.2,87
Креветки свежие,2.0,106
Лещ,4.4,105
"Лещ в томатном соусе, консервы",5.1,124
Лещ вяленый,5.9,221
Лещ горячего копчения,4.5,172
Лещ холодного копчения,4.6,160
Лосось атлантический (семга),8.1,153
Лягушачьи лапки свежие,0.0,73
Макрель свежая,14.0,205
Масляная рыба свежая,8.0,146
Мидии,2.0,77
Минтай,0.9,72
Минтай  припущенный,1.1,75
Мойва весенняя,7.1,116
Мойва осенняя,18.1,217
Морской гребешок свежий,1.0,88
Мясо ластоногих,1.7,113
Мясо черепахи свежее,0.0,89
Навага,1.6,91
Навага  жареная,8.3,169
Нерка красная,8.4,157
"Нерка натуральная, консервы",10.5,171
Окунь горячего копчения,8.0,166
Окунь жареный,9.1,180
Окунь запеченный,4.7,103
Окунь морской,3.3,103
Окунь морской отварной,3.6,112
Окунь морской тушеный,6.6,120
Окунь морской филе свежее,2.0,97
Окунь припущенный,3.5,109
Окунь речной,0.9,82
Окунь фаршированный,6.1,130
"Осетр в томатном соусе, консервы",11.8,164
Осетр жаренный во фритюре,17.4,273
Осетр каспийский,10.9,164
Осетр отварной,12.0,179
Осетр припущенный,11.9,179
Осетр свежий,4.0,105
Осьминог свежий,1.0,82
Палтус белокорый,3.0,103
Палтус свежий,2.0,110
Пеламида,14.2,217
"Печень трески, консервы",65.7,613
Пикша,0.5,73
Путассу,0.9,82
"Раки морские (лангуст, омар)",1.3,89
Раки морские вареные,0.7,90
Раки речные,1.0,76
Раки речные вареные,1.3,97
Сазан,2.7,97
"Сазан в томатном соусе, консервы",8.7,143
Сайда свежая,2.0,178
Салака,6.3,125
Салака  горячего копчения,5.6,152
Салат рыбный из окуня,15.7,182
Севрюга,10.3,160
"Севрюга в томатном соусе, консервы",11.4,178
Севрюга припущенная,11.2,173
Сельдь  атлантическая жирная,19.5,248
Сельдь  атлантическая нежирная,6.5,135
Сельдь  тихоокеанская нежирная,7.0,135
Сельдь  тихоокеанская среднесоленая,17.1,224
Сельдь атлантическая среднесоленая,8.5,145
Сельдь рубленая,9.7,136
Сельдь с луком,8.3,125
Сельдь тихоокеанская жирная,15.0,191
Семга свежая,13.0,208
Семга соленая потрошенная с головой,12.5,202
Сибасс свежий,2.0,97
Сиг свежий,6.0,134
Скумбрия  атлантическая,13.2,191
Скумбрия  дальневосточная,18.0,239
"Скумбрия  курильская натуральная, консервы",19.2,248
"Скумбрия  натуральная, консервы",14.4,200
Скумбрия  холодного копчения,6.4,150
"Скумбрия в масле, консервы",28.9,318
Солянка рыбная,1.2,25
Сом,5.1,115
"Сом в томатном соусе, консервы",6.3,126
Сом припущенный,5.4,121
Ставрида  жареная,10.5,190
Ставрида  отварная,4.9,124
Ставрида  припущенная,4.8,122
Ставрида океаническая,4.5,114
Судак,1.1,84
"Судак в томатном соусе, консервы",5.3,119
Судак отварной,1.2,96
Судак припущенный,1.2,89
Судак фаршированный,6.0,144
Теша осетровая холодного копчения,25.7,302
Тиляпия свежая,2.0,96
Треска,0.6,69
Треска  горячего копчения,1.2,115
Треска жареная,5.1,123
Треска запеченная,3.7,90
"Треска копченая в масле, консервы",23.0,290
Треска отварная,0.8,79
Треска припущенная,0.8,75
Треска соленая,0.6,98
Треска тушеная,5.1,101
Тунец,4.6,139
"Тунец в масле, консервы",15.9,232
"Тунец натуральный, консервы",0.7,96
Тунец свежий,5.0,144
Угорь,30.5,333
Угорь свежий,12.0,184
Улитки свежие,1.0,90
Устрица,2.0,72
Форель горячего копчения,11.8,264
Форель морская свежая,7.0,148
Форель речная свежая,5.0,138
Фрикадельки из минтая,1.9,95
Хек,2.2,86
Хек  припущенный,2.4,91
Чавыча,8.0,148
Шницель рыбный из окуня,12.5,215
"Шпроты в масле, консервы",32.4,363
Щука,1.1,84
"Щука в томатном соусе, консервы",4.0,110
Щука отварная,1.3,98
Щука припущенная,1.2,90
Щука фаршированная,6.0,141
Абрикосы,0.1,44
Абрикосы сушеные  без косточки (курага),0.3,232
Абрикосы сушеные  с косточкой (урюк),0.4,242
Айва,0.5,48
Алыча,0.1,34
Ананас,0.2,52
Ананас сушеный,0.6,255
Апельсин,0.2,43
Апельсин с сахаром,0.2,122
Банан,0.5,96
Варенье из  мандаринов,0.2,294
Варенье из айвы,0.2,273
Варенье из груши,0.2,273
Варенье из персиков,0.0,258
Варенье из рябины  черноплодной,0.0,387
Варенье из сливы,0.3,288
Варенье из яблок,0.3,265
Вишня,0.2,52
Вишня с сахаром,0.4,97
Гранат,0.6,72
Грейпфрут,0.2,35
Грейпфрут с сахаром,0.2,120
Груша,0.3,47
Груша сушеная,0.6,270
Джем из абрикосов,0.0,276
Джем мандариновый,0.0,276
Изюм,0.0,299
Инжир,0.2,54
Инжир сушеный,0.8,257
Карамбола,0.0,31
Киви,0.4,47
Киви подварка,0.2,243
Киви пюре,0.4,47
Кумкват,0.0,71
Лаймы,0.0,30
Лимон,0.1,34
Лимон с сахаром,0.1,169
Манго,0.0,65
Мангостин консервированный в сиропе,1.0,73
Мандарин,0.2,38
Нектарины,0.0,63
Папайя,0.0,39
Персик,0.1,45
Персик сушеный,0.4,254
Повидло яблочное,0.0,250
Помело,0.0,33
Пюре яблочное,0.2,82
Рамбутан консервированный в сиропе,0.0,82
Рябина садовая красная,0.2,50
Рябина черноплодная,0.2,55
Слива (садовая),0.3,49
Слива сушеная (чернослив),0.7,256
Слива черная,0.0,46
Суп из свежих  фруктов,0.1,50
Терн,0.3,54
Фейхоа,1.0,49
Финики,0.5,292
Хурма,0.4,67
Черешня,0.4,52
Чернослив  со взбитыми  сливками,12.6,281
Яблоки,0.4,47
Яблоки сушеные,0.1,253
Арбуз,0.1,27
Брусника,0.5,46
Варенье из клубники,0.1,285
Варенье из малины,0.2,273
Виноград,0.6,72
Виноград сушеный  (кишмиш),0.5,281
Голубика,0.5,39
Джем  черносмородиновый,0.1,284
Дыня,0.3,35
Ежевика,0.5,34
Земляника (садовая),0.4,41
Клубника,0.3,32
Клюква,0.2,28
Крыжовник,0.2,45
Малина,0.5,46
Малина с молоком,1.8,76
Морошка,0.9,40
Облепиха,5.4,82
Смородина белая,0.2,42
Смородина красная,0.2,43
Смородина черная,0.4,44
Суп-пюре из малины,0.1,48
Тыква,0.1,23
Черника,0.6,44
Шиповник,0.7,109
Шиповник сухой,1.4,284
Белок,0.0,48
Белок сухой,1.8,350
Желток,31.2,354
Желток сухой,52.2,612
Меланж,11.5,157
Омлет  из яичного порошка,17.0,200
Перепелиное яйцо целое,13.1,168
Салат яичный,18.8,213
Яичница глазунья,20.9,243
Яичный порошок,37.3,542
Яйцо отварное,11.5,157
Яйцо под майонезом,24.5,256
Яйцо целое,11.5,157
